date,state,confirmed,deaths
2020-03-11,Amazonas,0,0
2020-03-11,Antioquia,4,0
2020-03-11,Arauca,0,0
2020-03-11,Atlantico,0,0
2020-03-11,Bolivar,1,0
2020-03-11,Boyaca,0,0
2020-03-11,Caldas,0,0
2020-03-11,Caqueta,0,0
2020-03-11,Casanare,0,0
2020-03-11,Cauca,0,0
2020-03-11,Cesar,0,0
2020-03-11,Choco,0,0
2020-03-11,Cordoba,0,0
2020-03-11,Cundinamarca,0,0
2020-03-11,Guainia,0,0
2020-03-11,Guaviare,0,0
2020-03-11,Huila,0,0
2020-03-11,La Guajira,0,0
2020-03-11,Magdalena,0,0
2020-03-11,Meta,0,0
2020-03-11,Narino,0,0
2020-03-11,Norte de Santander,0,0
2020-03-11,Putumayo,0,0
2020-03-11,Quindio,0,0
2020-03-11,Risaralda,0,0
2020-03-11,San Andres y Providencia,0,0
2020-03-11,Santander,0,0
2020-03-11,Sucre,0,0
2020-03-11,Tolima,0,0
2020-03-11,Valle del Cauca,1,0
2020-03-11,Vaupes,0,0
2020-03-11,Vichada,0,0
2020-03-12,Bogota,3,0
2020-03-12,Amazonas,0,0
2020-03-12,Antioquia,4,0
2020-03-12,Arauca,0,0
2020-03-12,Atlantico,0,0
2020-03-12,Bolivar,1,0
2020-03-12,Boyaca,0,0
2020-03-12,Caldas,0,0
2020-03-12,Caqueta,0,0
2020-03-12,Casanare,0,0
2020-03-12,Cauca,0,0
2020-03-12,Cesar,0,0
2020-03-12,Choco,0,0
2020-03-12,Cordoba,0,0
2020-03-12,Cundinamarca,0,0
2020-03-12,Guainia,0,0
2020-03-12,Guaviare,0,0
2020-03-12,Huila,0,0
2020-03-12,La Guajira,0,0
2020-03-12,Magdalena,0,0
2020-03-12,Meta,0,0
2020-03-12,Narino,0,0
2020-03-12,Norte de Santander,0,0
2020-03-12,Putumayo,0,0
2020-03-12,Quindio,0,0
2020-03-12,Risaralda,0,0
2020-03-12,San Andres y Providencia,0,0
2020-03-12,Santander,0,0
2020-03-12,Sucre,0,0
2020-03-12,Tolima,0,0
2020-03-12,Valle del Cauca,1,0
2020-03-12,Vaupes,0,0
2020-03-12,Vichada,0,0
2020-03-13,Bogota,6,0
2020-03-13,Amazonas,0,0
2020-03-13,Antioquia,4,0
2020-03-13,Arauca,0,0
2020-03-13,Atlantico,0,0
2020-03-13,Bolivar,1,0
2020-03-13,Boyaca,0,0
2020-03-13,Caldas,0,0
2020-03-13,Caqueta,0,0
2020-03-13,Casanare,0,0
2020-03-13,Cauca,0,0
2020-03-13,Cesar,0,0
2020-03-13,Choco,0,0
2020-03-13,Cordoba,0,0
2020-03-13,Cundinamarca,0,0
2020-03-13,Guainia,0,0
2020-03-13,Guaviare,0,0
2020-03-13,Huila,2,0
2020-03-13,La Guajira,0,0
2020-03-13,Magdalena,0,0
2020-03-13,Meta,1,0
2020-03-13,Narino,0,0
2020-03-13,Norte de Santander,0,0
2020-03-13,Putumayo,0,0
2020-03-13,Quindio,0,0
2020-03-13,Risaralda,0,0
2020-03-13,San Andres y Providencia,0,0
2020-03-13,Santander,0,0
2020-03-13,Sucre,0,0
2020-03-13,Tolima,0,0
2020-03-13,Valle del Cauca,2,0
2020-03-13,Vaupes,0,0
2020-03-13,Vichada,0,0
2020-03-14,Bogota,11,0
2020-03-14,Amazonas,0,0
2020-03-14,Antioquia,7,0
2020-03-14,Arauca,0,0
2020-03-14,Atlantico,0,0
